Min,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,,33.0,27.0,34.0,65.0,93.0,145.0,23.0,37.0,23.0,38.0,38.0,141.0,123.0,201.0,141.0,126.0,161.0,126.0,108.0,78.0,92.0,38.0,123.0,120.0,170.0,105.0,129.0,133.0,101.0,150.0,161.0,138.0,156.0,169.0,147.0,118.0,88.0,138.0,109.0,85.0,181.0,158.0,101.0,191.0,160.0,148.0,170.0
2,33.0,,28.0,35.0,42.0,94.0,172.0,50.0,64.0,51.0,47.0,65.0,141.0,91.0,204.0,169.0,154.0,164.0,154.0,137.0,103.0,122.0,47.0,91.0,149.0,201.0,113.0,133.0,101.0,110.0,179.0,189.0,166.0,183.0,198.0,176.0,166.0,117.0,167.0,138.0,83.0,209.0,126.0,105.0,155.0,129.0,176.0,139.0
3,27.0,28.0,,11.0,69.0,71.0,166.0,44.0,57.0,44.0,72.0,59.0,174.0,109.0,198.0,156.0,140.0,158.0,141.0,124.0,90.0,109.0,34.0,107.0,136.0,186.0,101.0,125.0,117.0,96.0,166.0,177.0,154.0,171.0,185.0,163.0,135.0,105.0,154.0,125.0,69.0,190.0,142.0,98.0,147.0,145.0,163.0,126.0
4,34.0,35.0,11.0,,71.0,66.0,174.0,52.0,66.0,53.0,73.0,67.0,172.0,120.0,184.0,162.0,147.0,144.0,148.0,132.0,81.0,116.0,32.0,125.0,143.0,193.0,88.0,113.0,136.0,88.0,174.0,183.0,162.0,178.0,193.0,171.0,142.0,112.0,161.0,132.0,57.0,196.0,160.0,85.0,135.0,158.0,171.0,133.0
5,65.0,42.0,69.0,71.0,,192.0,114.0,83.0,97.0,70.0,43.0,94.0,112.0,54.0,170.0,211.0,186.0,130.0,206.0,189.0,141.0,154.0,85.0,65.0,187.0,225.0,134.0,98.0,75.0,130.0,218.0,213.0,189.0,230.0,209.0,212.0,140.0,178.0,180.0,176.0,59.0,217.0,100.0,70.0,120.0,95.0,164.0,177.0
6,93.0,94.0,71.0,66.0,192.0,,235.0,112.0,126.0,113.0,133.0,127.0,213.0,157.0,172.0,211.0,196.0,137.0,197.0,180.0,137.0,164.0,80.0,169.0,192.0,240.0,40.0,70.0,184.0,39.0,222.0,231.0,210.0,226.0,241.0,220.0,191.0,161.0,211.0,182.0,56.0,241.0,200.0,59.0,148.0,168.0,215.0,182.0
7,145.0,172.0,166.0,174.0,114.0,235.0,,137.0,124.0,133.0,151.0,109.0,107.0,235.0,342.0,49.0,39.0,301.0,30.0,45.0,150.0,92.0,177.0,160.0,53.0,73.0,243.0,268.0,184.0,249.0,45.0,64.0,65.0,60.0,116.0,80.0,87.0,81.0,85.0,67.0,212.0,78.0,208.0,240.0,290.0,276.0,115.0,79.0
8,23.0,50.0,44.0,52.0,83.0,112.0,137.0,,14.0,38.0,61.0,38.0,154.0,156.0,231.0,158.0,136.0,190.0,140.0,122.0,51.0,88.0,54.0,151.0,132.0,181.0,135.0,159.0,147.0,100.0,162.0,171.0,148.0,165.0,181.0,158.0,130.0,100.0,149.0,120.0,104.0,192.0,171.0,132.0,182.0,191.0,159.0,113.0
9,37.0,64.0,57.0,66.0,97.0,126.0,124.0,14.0,,36.0,67.0,24.0,136.0,167.0,248.0,139.0,118.0,207.0,122.0,104.0,59.0,61.0,72.0,169.0,105.0,164.0,149.0,175.0,130.0,121.0,135.0,155.0,132.0,150.0,164.0,116.0,113.0,83.0,133.0,84.0,123.0,175.0,155.0,147.0,197.0,207.0,142.0,145.0
10,23.0,51.0,44.0,53.0,70.0,113.0,133.0,38.0,36.0,,31.0,25.0,131.0,134.0,209.0,134.0,113.0,168.0,117.0,99.0,81.0,80.0,48.0,130.0,108.0,158.0,112.0,138.0,119.0,129.0,139.0,149.0,126.0,144.0,157.0,135.0,107.0,77.0,126.0,97.0,82.0,169.0,143.0,110.0,160.0,170.0,136.0,98.0
11,38.0,47.0,72.0,73.0,43.0,133.0,151.0,61.0,67.0,31.0,,56.0,137.0,134.0,243.0,165.0,145.0,203.0,148.0,130.0,114.0,111.0,85.0,129.0,139.0,188.0,148.0,172.0,138.0,146.0,170.0,178.0,161.0,176.0,189.0,163.0,138.0,108.0,158.0,129.0,121.0,197.0,159.0,146.0,196.0,169.0,167.0,130.0
12,38.0,65.0,59.0,67.0,94.0,127.0,109.0,38.0,24.0,25.0,56.0,,125.0,155.0,247.0,128.0,108.0,206.0,111.0,93.0,89.0,74.0,86.0,86.0,162.0,151.0,149.0,175.0,112.0,148.0,133.0,141.0,124.0,139.0,152.0,129.0,100.0,70.0,120.0,91.0,121.0,162.0,133.0,149.0,199.0,203.0,129.0,92.0
13,141.0,141.0,174.0,172.0,112.0,213.0,107.0,154.0,136.0,131.0,137.0,125.0,,130.0,276.0,95.0,88.0,238.0,92.0,73.0,178.0,102.0,148.0,52.0,112.0,113.0,211.0,207.0,78.0,209.0,127.0,98.0,74.0,113.0,93.0,156.0,25.0,60.0,65.0,121.0,168.0,102.0,99.0,179.0,223.0,168.0,52.0,122.0
