GRASP - Distância - 2-opt,"ANGICOS
 SANTA CRUZ
 CAICÓ
 PARELHAS
 CEARÁ-MIRIM
 PAU DOS FERROS
 IPANGUAÇU
 CURRAIS NOVOS
 JUCURUTU
 SÃO MIGUEL
 SÃO GONÇALO DO AMARANTE
 AFONSO BEZERRA
 AREIA BRANCA
 SÃO JOSÉ DO MIPIBÚ
 PARNAMIRIM
 POÇO BRANCO
 UPANEMA
 CANGUARETAMA
 APODI
  MONTE ALEGRE
 CARAÚBAS
 JARDIM DE PIRANHAS
 SÃO JOSÉ DO CAMPESTRE
 NATAL
 NOVA CRUZ
 TAIPU
 NÍSIA FLORESTA
 BARAÚNA
 PEDRO VELHO
 SÃO RAFAEL
 MACAÍBA
 ALEXANDRIA
 GOIANINHA
 EXTREMOZ
 ACARI
 MACAU
 PEDRO AVELINO
 SANTANA DO MATOS
 MOSSORÓ
 ITAJÁ
 ASSÚ
 FERNANDO PEDROSA
 LAJES
 JOÃO CÂMARA
 SÃO PAULO DO POTENGI
 TANGARÁ
 TOUROS
 SANTO ANTÔNIO
 ANGICOS
 ",260
GRASP - Distância - 2-opt,"ANGICOS
 NATAL
 SÃO JOSÉ DO CAMPESTRE
 MOSSORÓ
 JUCURUTU
 MONTE ALEGRE
 IPANGUAÇU
 AREIA BRANCA
 BARAÚNA
 SANTO ANTÔNIO
 CARAÚBAS
 JARDIM DE PIRANHAS
 PARNAMIRIM
 MACAÍBA
 CURRAIS NOVOS
 NÍSIA FLORESTA
 POÇO BRANCO
 SÃO MIGUEL
 APODI
 GOIANINHA
 AFONSO BEZERRA
 PEDRO VELHO
 SÃO RAFAEL
 EXTREMOZ
 ACARI
 ALEXANDRIA
 PEDRO AVELINO
 FERNANDO PEDROSA
 LAJES
 SÃO GONÇALO DO AMARANTE
 TANGARÁ
 CANGUARETAMA
  MACAU
 TAIPU
 JOÃO CÂMARA
 PAU DOS FERROS
 UPANEMA
 CEARÁ-MIRIM
 PARELHAS
 SÃO PAULO DO POTENGI
 TOUROS
 CAICÓ
 NOVA CRUZ
 SANTANA DO MATOS
 ASSÚ
 SANTA CRUZ
 ITAJÁ
 SÃO JOSÉ DO MIPIBÚ
 ANGICOS
 ",279
